id;title;numberOfPages;issn
163;An X- and Ku-Band 8-Element Phased-Array Receiver in 0.18-Âµm SiGe BiCMOS Technology.;58;4954-4637
164;DDJ-Adaptive SAR TDC-Based Timing Recovery for Multilevel Signaling.;83;2456-6828
165;A 1 mJ/Frame Unified Media Application Processor With Dynamic Analog-Digital Mode Reconfiguration for Embedded 3D-Media Contents Processing.;73;2785-4508
166;LDPC codes associated with linear representations of geometries.;58;6249-3311
167;Personalized Group Recommender Systems for Location- and Event-Based Social Networks.;195;2019-4691
168;Minding the gap: Applying a service marketing model into government policy communications.;169;8762-2092
169;A Novel Method for Low-Contrast and High-Noise Vessel Segmentation and Location in Venipuncture.;117;4826-2405
170;Analysis of batch Bernoulli process subject to discrete-time renewal generated binomial catastrophes.;154;2084-8428
171;AMVA-based solution procedures for open queueing networks with population constraints.;138;1363-8084
172;Global Convergence of Conjugate Gradient Methods without Line Search.;107;1879-6692
173;Static and dynamic resource allocation models for recovery of interdependent systems: application to the Deepwater Horizon oil spill.;111;7524-7331
174;The Multidimensional 0-1 Knapsack Problem - Bounds and Computational Aspects.;139;6905-6710
175;An Intelligent Dispatch System Operating in a Partially Closed Environment.;151;4967-8158
176;Large-scale software engineering questions expert opinion or empirical evidence?;149;3187-6681
177;Development of a single energy balance model for prediction of temperatures inside a naturally ventilated greenhouse with polypropylene soil mulch.;65;2168-7128
178;David Hamer, family man and enigma expert, remembered and missed.;121;4547-7313
179;A Regularization-Based Adaptive Test for High-Dimensional GLMs.;164;2142-8320
180;Superior Guarantees for Sequential Prediction and Lossless Compression via Alphabet Decomposition.;50;7650-7335
181;Evaluation in Natural Language Generation: Lessons from Referring Expression Generation.;112;3569-3723
182;SVM-KNN: Discriminative nearest neighbor classification for visual category recognition;68;6407-6108
183;Self-tuning PI rate controller for best-effort traffic with interval phase margin assignment.;122;5802-8351
184;Adaptive Topology Control with Link Quality Prediction for Underwater Sensor Networks.;135;1728-4113
185;A Study of Sea Surface Wind Vector Estimation From Near-Nadiral Cross-Track-Scanned Backscatter Data.;122;4613-4120
186;Two-Layered Protocol for a Large-Scale Group of Processes.;69;2775-1073
187;Distributed Individuals for Multiple Peaks: A Novel Differential Evolution for Multimodal Optimization Problems.;127;4301-8242
188;Automatic Design of a Hyper-Heuristic Framework With Gene Expression Programming for Combinatorial Optimization Problems.;126;7829-5473
189;Collective spatial keyword search on activity trajectories.;129;2359-2865
190;Windows Forensic Analysis Toolkit.;91;2351-7157
191;Social engineering today: psychology, strategies and tricks.;169;8271-5615
192;Business Method Patents and Sustained Competitive Advantage.;162;6626-4944
193;Analysis for REPERA: A Hybrid Data Protection Mechanism in Distributed Environment.;144;7568-2065
194;Retrocausality at no extra cost.;118;6918-2509
195;Learning stochastically stable Gaussian process state-space models.;67;2769-5501
196;DOA Estimation for Coherent Sources in Transformed Space.;121;4100-5160
197;Algorithm 1017: fuzzyreg: An R Package for Fitting Fuzzy Regression Models.;133;3886-4281
198;Asymptotic Behaviour of a BIPF Algorithm with an Improper Target.;192;1081-1462
199;A note on the rate of convergence of local polynomial estimators in regression models.;119;2339-1330
200;Goal Programming-Based Two-Tier Multi-Criteria Decision-Making Approach for Wind Turbine Selection.;83;3284-7367
201;An All-Inclusive Efficient Region of Updates for Least Change Secant Methods.;81;3172-7122
202;Limited-Memory Reduced-Hessian Methods for Large-Scale Unconstrained Optimization.;163;5483-8841
203;On Best Approximation by Nonconvex Sets and Perturbation of Nonconvex Inequality Systems in Hilbert Spaces.;198;4125-5954
204;Monitoring Lakes Surface Water Velocity with SAR: A Feasibility Study on Lake Garda, Italy.;186;7303-4165
205;Multimodal Data and Multiscale Kernel-Based Multistream CNN for Fine Classification of a Complex Surface-Mined Area.;88;5647-2887
206;A Preliminary Investigation of the Potential of Sentinel-1 Radar to Estimate Pasture Biomass in a Grazed Pasture Landscape.;188;7917-4425
207;VO-LVV - A Novel Urban Regional Living Vegetation Volume Quantitative Estimation Model Based on the Voxel Measurement Method and an Octree Data Structure.;122;4823-4612
208;Spaceborne SAR Data for Regional Urban Mapping Using a Robust Building Extractor.;164;2470-2051
209;Improving SMOS Sea Surface Salinity in the Western Mediterranean Sea through Multivariate and Multifractal Analysis.;101;5505-2825
210;Location- and Time-Specific Hydrological Simulations with Multi-Resolution Remote Sensing Data in Urban Areas.;194;3195-4546
211;Spatio-Temporal Analysis of Vegetation Dynamics as a Response to Climate Variability and Drought Patterns in the Semiarid Region, Eritrea.;154;3325-4866
212;Temperature Variation and Climate Resilience Action within a Changing Landscape.;77;6825-5065
213;Few-Shot Learning for Post-Earthquake Urban Damage Detection.;65;6258-6583
214;Performance Testing of Optical Flow Time Series Analyses Based on a Fast, High-Alpine Landslide.;131;3866-5689
215;Retrieval of Water Quality Parameters from Hyperspectral Images Using Hybrid Bayesian Probabilistic Neural Network.;184;7421-6930
216;Unrest at Domuyo Volcano, Argentina, Detected by Geophysical and Geodetic Data and Morphometric Analysis.;77;7082-7316
217;Estimating 6D Aircraft Pose from Keypoints and Structures.;85;8212-1121
218;Track Prediction for HF Radar Vessels Submerged in Strong Clutter Based on MSCNN Fusion with GRU-AM and AR Model.;60;7609-4890
219;The Effect of Network Relational Structure on Knowledge Diffusion Learning: An Empirical Study.;155;5420-7382
220;The Moroccan Experience in E-learning in the Ecole des Sciences de l Information.;107;5138-8244
221;Large Student Groups Assessment During the Semester Term.;161;5904-6577
222;Application of Multi-lens Video Editing Technology in Multi-media Interactive Teaching of Aerobics.;66;3507-8828
223;A framework for network quality monitoring in the VoIP environment.;125;6413-6210
224;An improved efficient identity-based proxy signature in the standard model.;194;1197-3909
225;Mesh quality improvement: radial basis functions approach.;128;6244-8171
226;Image extraction in digital documents.;167;3462-4460
227;Wavelet-based illumination invariant preprocessing in face recognition.;112;5309-2702
228;Empathizing and Sympathizing With Robots: Implications for Moral Standing.;75;2744-4348
229;A Socially Adaptable Framework for Human-Robot Interaction.;61;2179-6253
230;XRT- Exploring Runtime for .NET Architecture and Applications.;60;4946-4180
231;Unitary Cayley graphs of matrix rings over finite commutative rings.;107;6209-5910
232;Subplanes of order 3 in Figueroa planes.;179;7562-7135
233;A novel adaptive feature selector for supervised classification.;158;7635-5467
234;Efficient Algorithms for Counting and Reporting Pairwise Intersections Between Convex Polygons.;130;3904-3043
235;Provable security for 13 round Skipjack-like structure.;98;4724-3716
236;Cloud computing in a distributed e-infrastructure using the web processing service standard.;104;4337-8741
237;On Detecting Hidden Wireless Cameras: A Traffic Pattern-based Approach.;63;8062-7805
238;A weighted dominant color descriptor for content-based image retrieval.;102;1633-3748
239;NERNet: Noise estimation and removal network for image denoising.;132;8171-3731
240;Adaptive single image dehazing method based on support vector machine.;183;8226-8633
241;Hamiltonicity in Partly claw-free graphs.;167;2308-5322
242;Twin Boosting: improved feature selection and prediction.;86;6388-4577
243;Hypergraphs with pendant paths are not chromatically unique.;117;4459-2131
244;Low-cost remote sensing experiments within an educational environment.;126;5574-8644
245;Projectively invariant representations using implicit algebraic curves.;188;8982-5202
246;Outdoor recognition at a distance by fusing gait and face.;147;1897-3656
247;Exploiting Transfer Learning and Hand-Crafted Features in a Unified Neural Model for Identifying Actionable Informative Tweets.;200;4003-7455
248;A Type Safe Access to Key-value Stores from Functional Languages.;114;2187-3632
249;Analog antenna combining in transmit correlated channels: Transceiver design and performance evaluation.;132;3776-5657
250;Pareto optimal layout of multistatic radar.;157;8891-8536
251;Representation and analysis of complex chirp signals.;91;3206-3381
252;Near Field Communication im Handel: Expertenbefragung mittels Delphi-Methode.;74;3309-7309
253;Multi-objective layout optimization of a satellite module using the Wang-Landau sampling method with local search.;142;3777-1204
254;Generating native user interfaces for multiple devices by means of model transformation.;172;8791-2130
255;The Parallel Approximability of the False and True Gates Problems for NOR-Circuits.;54;6985-8442
256;A Note on the Steiner ;157;4025-2592
257;A knowledge representation for conceptual information retrieval.;96;6202-7470
258;Optimizing Multiple Quality Responses in the Taguchi Method Using Fuzzy Goal Programming: Modeling and Applications.;82;3474-8074
259;Linguistic Vector Similarity Measures and Applications to Linguistic Information Classification.;86;5362-6252
260;Assessing the Representation of Phonological Rules by a Production Study of Non-Words in Coratino.;73;6952-8043
261;Adaptive and personalized multimedia content delivery for disabled users in Internet TV.;132;7567-1051
262;Practising the paradigm shift: real world experience of on-line support.;71;1840-7227
263;Information domains, information ethics.;91;1518-8972
264;Sind Sie sicher?;92;1635-7730
